م. رف,م. مجموعة,م. التصنيف,التصنيف,اسم الكتاب,الجزء,السلسلة,لقب المؤلف,اسم المؤلف,لقب المترجم,اسم المترجم,الناشر,سنة النشر,الطبعة,الرقم العام,الرقم الخاص,تصنيف الكتاب
1,1,1,ب,سفر الرؤيا مع مردات ليلة أبو غالمسيس,,,,,,,دير السيدة العذراء السريان,,,8105,228,كتاب مقدس
1,1,1,ج,العهد الجديد,,,,,,,دار الكتاب المقدس,1968,,6261,225,كتاب مقدس
1,1,2,ج,اللاويين,,,,,,,المطبعة الأمريكانية -بيروت,1933,,13626,222,كتاب مقدس
1,1,3,ج,الكتاب المقدس,,,,,,,دار الكتاب المقدس,,,12072,220,كتاب مقدس
1,1,4,ج,المزامير,,,,,,,دار الكتاب المقدس,,,9698,223,كتاب مقدس
1,1,5,ج,الأسفار القانونية التي حذفها البروتستانت,,,المرحوم الأستاذ,يسى عبد المسيح,,,,,,6265,229,كتاب مقدس
1,1,6,ج,الأسفار القانونية التي حذفها البروتستانت,,,,,,,مدارس الأحد المرقسية بالإسكندرية,,,13623,229,كتاب مقدس
1,1,7,ج,مزامير داود النبي والملك,,,,,,,مكتبة المحبة,2003,,13624,223,كتاب مقدس
1,1,8,ج,كتاب الزبور الإلهي,,,,,,,مجلس معارف ولاية بيروت الجليلة,1891,,14479,223,كتاب مقدس
1,1,9,ج,أيوب والموعظة على الجبل,,,,,,,دار الكتاب المقدس,1971,,13625,224,كتاب مقدس
2,1,1,أ,دائرة المعارف الكتابية : أ,1,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1988,1,153,203,دائرة المعارف الكتابية
2,1,2,أ,دائرة المعارف الكتابية : أ,1,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1988,1,154,203,دائرة المعارف الكتابية
2,1,3,أ,دائرة المعارف الكتابية : أ,1,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1988,1,155,203,دائرة المعارف الكتابية
2,1,4,أ,دائرة المعارف الكتابية : أ,1,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1988,1,156,203,دائرة المعارف الكتابية
2,1,5,أ,دائرة المعارف الكتابية : ب - ج,2,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1990,1,157,203,دائرة المعارف الكتابية
2,1,6,أ,دائرة المعارف الكتابية : ب - ج,2,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1990,1,158,203,دائرة المعارف الكتابية
2,1,7,أ,دائرة المعارف الكتابية : ب - ج,2,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1990,1,159,203,دائرة المعارف الكتابية
2,1,8,أ,دائرة المعارف الكتابية : ب - ج,2,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1990,1,160,203,دائرة المعارف الكتابية
2,1,9,أ,دائرة المعارف الكتابية : ح - ذ,3,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1991,1,161,203,دائرة المعارف الكتابية
2,1,10,أ,دائرة المعارف الكتابية : ح - ذ,3,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1991,1,162,203,دائرة المعارف الكتابية
2,1,11,أ,دائرة المعارف الكتابية : ح - ذ,3,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1991,1,163,203,دائرة المعارف الكتابية
2,1,12,أ,دائرة المعارف الكتابية : ح - ذ,3,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1991,1,164,203,دائرة المعارف الكتابية
2,1,13,أ,دائرة المعارف الكتابية : ر - ش,4,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1992,1,165,203,دائرة المعارف الكتابية
3,1,1,أ,دائرة المعارف الكتابية : ر - ش,4,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1992,1,166,203,دائرة المعارف الكتابية
3,1,2,أ,دائرة المعارف الكتابية : ر - ش,4,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1992,1,167,203,دائرة المعارف الكتابية
3,1,3,أ,دائرة المعارف الكتابية : ر - ش,4,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1992,1,168,203,دائرة المعارف الكتابية
3,1,4,أ,دائرة المعارف الكتابية : ص - غ,5,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1995,1,169,203,دائرة المعارف الكتابية
3,1,5,أ,دائرة المعارف الكتابية : ص - غ,5,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1995,1,170,203,دائرة المعارف الكتابية
3,1,6,أ,دائرة المعارف الكتابية : ص - غ,5,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1995,1,171,203,دائرة المعارف الكتابية
3,1,7,أ,دائرة المعارف الكتابية : ص - غ,5,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1995,1,172,203,دائرة المعارف الكتابية
3,1,8,أ,دائرة المعارف الكتابية : ف - ك ,6,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1997,1,5340,203,دائرة المعارف الكتابية
3,1,9,أ,دائرة المعارف الكتابية : ف - ك ,6,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1997,1,5341,203,دائرة المعارف الكتابية
3,1,10,أ,دائرة المعارف الكتابية : ف - ك ,6,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1997,1,5342,203,دائرة المعارف الكتابية
3,1,11,أ,دائرة المعارف الكتابية : ل - م ,7,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1998,1,6098,203,دائرة المعارف الكتابية
3,1,12,أ,دائرة المعارف الكتابية : ل - م ,7,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1998,1,6099,203,دائرة المعارف الكتابية
4,1,1,أ,قراءات يومية لكلمة الحياة,,,,مطرانية اللاتين بمصر,,,,1990,,6066,220,قراءات يومية في الكتاب المقدس
4,1,1,ب,الغذاء الروحي,1,,,,الدكتور,جرجس ميلاد,رابطة قراء الكتاب المقدس,1990,,7000,242,قراءات يومية في الكتاب المقدس
4,1,2,ب,الغذاء الروحي,1,,,,الدكتور,جرجس ميلاد,رابطة قراء الكتاب المقدس,1990,,3424,242,قراءات يومية في الكتاب المقدس
4,1,3,ب,الغذاء الروحي,1,,,دار الكتاب المقدس,,,دار الكتاب المقدس,,,1385,252,قراءات يومية في الكتاب المقدس
4,1,4,ب,الغذاء الروحي,1,,,دار الكتاب المقدس,,,دار الكتاب المقدس,,,10693,252,قراءات يومية في الكتاب المقدس
4,1,5,ب,الغذاء الروحي,2,,,دار الكتاب المقدس,,,دار الكتاب المقدس,,,1386,252,قراءات يومية في الكتاب المقدس
4,1,6,ب,الغذاء الروحي,2,,,دار الكتاب المقدس,,,دار الكتاب المقدس,,,1388,252,قراءات يومية في الكتاب المقدس
4,1,7,ب,365 يوم مع الله,,,,دار الكتاب المقدس,,,دار الكتاب المقدس,2002,2,13207,252,قراءات يومية في الكتاب المقدس
4,1,8,ب,كل صباح جديد,,,,رابطة قراء الكتاب المقدس,,,رابطة قراء الكتاب المقدس,2000,1,13208,252,قراءات يومية في الكتاب المقدس
4,1,9,ب,القراءات اليومية في الكتب السماوية,1,,القس,مرقس داود,,,مكتبة المحبة,1961,,6656,242,قراءات يومية في الكتاب المقدس
4,1,10,ب,القراءات اليومية في الكتب السماوية,2,,القس,مرقس داود,,,مكتبة المحبة,,,7841,242,قراءات يومية في الكتاب المقدس
4,1,1,ج,دراسات للشباب في درس الكتاب المقدس,,,القمص,بولس بولس,,,مكتبة مدارس الأحد بالجيزة,,,13211,242,قراءات يومية في الكتاب المقدس
4,1,2,ج,كل يوم مع الكتاب,1,,,رابطة قراء الكتاب المقدس,,,رابطة قراء الكتاب المقدس,2003,1,13210,242,قراءات يومية في الكتاب المقدس
4,1,3,ج,يوم الي يوم,,,القمص,شاروبيم يعقوب,,,,,,13209,242,قراءات يومية في الكتاب المقدس
4,1,4,ج,الآلئ الحسنة,1,,القس,مكاري يونان,,,,,,10867,242,قراءات يومية في الكتاب المقدس
4,1,5,ج,تأملات روحية يومية معزية,5,,الأرشيدياكون,ميخائيل مكسى إسكندر,,,مكتبة المحبة,2009,,11003,242,قراءات يومية في الكتاب المقدس
4,2,1,أ,آيات و تأملات,,,القس,مكاري يونان,,,مكتبة المحبة,,,10672,242,آيات وشواهد كتابية
4,2,1,ج,دليل شواهد الكتاب المقدس,,,,عماد نوار غبريال,,,,1987,1,568,220,آيات وشواهد كتابية
4,2,2,ج,آيات كتابية في معانيها الحقيقية,,,القس,بيشوي فؤاد واصف,,,,,,2313,238,آيات وشواهد كتابية
4,2,3,ج,دليل البحث في الكتاب المقدس,,,,مطرانية ملوي,,,,,,13212,238,آيات وشواهد كتابية
4,2,4,ج,الآيات الذهبية في المواضيع الالهية,,,القمص,بولس بولس,,,,,,13213,238,آيات وشواهد كتابية
4,2,5,ج,قاموس الآيات الحكيمة على الأحرف الهجائية,1,,الشماس,عبد المسيح روفائيل,,,,,3,13215,238,آيات وشواهد كتابية
4,2,6,ج,قاموس الآيات الحكيمة على الأحرف الهجائية حرف الالف,,,الشماس,عبد المسيح روفائيل,,,,,,13216,238,آيات وشواهد كتابية
4,2,7,ج,قاموس الآيات الحكيمة على الأحرف الهجائية حرف لا,,,الشماس,عبد المسيح روفائيل,,,,,2,13217,238,آيات وشواهد كتابية
4,2,8,ج,قاموس الآيات الحكيمة على الأحرف الهجائية حرف و,,,الشماس,عبد المسيح روفائيل,,,,,,13214,238,آيات وشواهد كتابية
5,1,1,أ,الخط الزمني للكتاب المقدس,,,القمص,مارك عزيز,,,,2017,1,13156,228,أطلس فهارس الكتاب المقدس
5,1,2,أ,الأطلس الشامل لأحداث العهد القديم,,,االراهب,صموئيل السرياني,,ف.س.سعيد,,,,12725,220,أطلس فهارس الكتاب المقدس
5,1,3,أ,دليل عربي يوناني الى ألفاظ العهد الجديد,,,الأب,صبحي حموي اليسوعي,,,دار المشرق,1993,1,4594,225,أطلس فهارس الكتاب المقدس
5,1,4,أ,الأنجيل العهد الجديد,,,,دار الكتاب المقدس,,,دار الكتاب المقدس,1993,1,9582,225,أطلس فهارس الكتاب المقدس
5,1,5,أ,سياحة في العهد القديم,1,,مهندس,ممدوح شفيق,,,مكتبة اسقفية الشباب,1997,1,5084,222,أطلس فهارس الكتاب المقدس
5,1,6,أ,المرشد المصور للعهد القديم,,,القس,مكسيموس وصفي,,,كنيسة السيدة العذراء مريم - محرم بك,1993,1,15456,220,أطلس فهارس الكتاب المقدس
5,1,7,أ,المرشد الجغرافي التاريخي للعهد القديم,,,القس,مكسيموس وصفي,,,كنيسة السيدة العذراء مريم - محرم بك,1994,1,1188,220,أطلس فهارس الكتاب المقدس
5,1,8,أ,المرشد الجغرافي التاريخي للعهد القديم,,,القس,مكسيموس وصفي,,,كنيسة السيدة العذراء مريم - محرم بك,1994,1,1189,220,أطلس فهارس الكتاب المقدس
5,1,9,أ,المرشد الجغرافي التاريخي للعهد الجديد,,,القس,مكسيموس وصفي,,,كنيسة السيدة العذراء مريم - محرم بك,1985,1,1187,220,أطلس فهارس الكتاب المقدس
5,1,10,أ,المرشد الجغرافي التاريخي للعهد الجديد,,,القس,مكسيموس وصفي,,,كنيسة السيدة العذراء مريم - محرم بك,1985,1,566,220,أطلس فهارس الكتاب المقدس
5,1,11,أ,دراسات في جغرافية العهد الجديد,,,الدكتور,موريس تاوضروس,,,,,,12140,220,أطلس فهارس الكتاب المقدس
5,1,12,أ,أطلس الدارسين للكتاب المقدس,,,,دار الكتاب المقدس,,,دار الكتاب المقدس,1994,,1185,220,أطلس فهارس الكتاب المقدس
5,1,13,أ,أطلس الدارسين للكتاب المقدس,,,,دار الكتاب المقدس,,,دار الكتاب المقدس,1994,,1186,220,أطلس فهارس الكتاب المقدس
5,1,14,أ,أطلس الكتاب المقدس للعهد القديم,,,الشماس ,عدلي اسكندر مرقص,,,,1996,2,13157,220,أطلس فهارس الكتاب المقدس
5,1,15,أ,مقدمة في جغرافية العهد الجديد,,,الدكتور,موريس تاوضروس,,,مكتبة التربية الكنسية بالجيزة,,,12779,933,أطلس فهارس الكتاب المقدس
5,1,16,أ,جغرافية الكتاب المقدس - جغرافية العهد الجديد,2,,القمص,ميخائيل فهمي,,,,2002,1,13158,220,أطلس فهارس الكتاب المقدس
5,1,17,ب,أطلس الكتاب المقدس ,,,الراهب,افلوجيوس السرياني,,,,1980,1,5910,225,أطلس فهارس الكتاب المقدس
5,1,18,ب,أطلس الكتاب المقدس ,,,الراهب,افلوجيوس السرياني,,,,1980,1,13159,225,أطلس فهارس الكتاب المقدس
5,1,19,ب,الجغرافيا الفلكية للكتاب المقدس,1,,مهندس,لبيب يعقوب صليب,,,,1968,1,13160,220,أطلس فهارس الكتاب المقدس
5,1,20,أ,قاموس الكتاب المقدس,,,,مجموعة مؤلفين,,,دار الثقافة,1995,,9026,220,أطلس فهارس الكتاب المقدس
5,1,21,أ,قاموس الكتاب المقدس,,,,مجموعة مؤلفين,,,دار الثقافة,1995,,1969,220,أطلس فهارس الكتاب المقدس
5,1,22,أ,كتب الحكمة,,,,,,,دار المشرق ,1987,,13615,220,أطلس فهارس الكتاب المقدس
5,1,23,أ,الموسوعة الرمزية,1,,القس,بيشوي الأنطوني,,,,1992,1,13161,220,أطلس فهارس الكتاب المقدس
5,1,24,أ,الكتاب المقدس- العهد الجديد,,,,,,,الدار الكاثوليكية المصرية,1963,,13622,225,أطلس فهارس الكتاب المقدس
5,1,25,أ,العهد الجديد,,,,,,,جمعيات الكتاب المقدس المعتمدة,1953,,14480,225,أطلس فهارس الكتاب المقدس
5,1,26,ب,المعين معجم الألفاظ العسرة في الكتاب المقدس,,,,مجموعة مؤلفين,,,دار النشر المعمدانية بيروت,1977,,13162,220,أطلس فهارس الكتاب المقدس
6,1,1,أ,معجم اللاهوت الكتابي,,,,مجموعة مؤلفين,,,دار المشرق ,1986,,10154,220,أطلس فهارس الكتاب المقدس
6,1,2,أ,الفهرس العربي لكلمات العهد الجديد اليونانية,,,القس,غسان خلف,,,دار النشر المعمدانية,1979,,1971,220,أطلس فهارس الكتاب المقدس
6,1,3,أ,فهرس الكتاب المقدس,,,الدكتور,جورج بوست,,,دار الثقافة,1994,,1970,220,أطلس فهارس الكتاب المقدس
6,1,4,أ,فهرس الكتاب المقدس,,,الدكتور,جورج بوست,,,دار الثقافة,,,13163,220,أطلس فهارس الكتاب المقدس
6,1,5,أ,التفسير التطبيقي للكتاب المقدس,,,,,,شركة ماستر ميديا,,,,5857,225,أطلس فهارس الكتاب المقدس
6,1,6,أ,فهرس الموضوعات الكتابية,,,,,,,دار الثقافة,2000,,13164,220,أطلس فهارس الكتاب المقدس
6,1,7,أ,التفسير التطبيقي للعهد الجديد,,,,,,,,,,4620,225,أطلس فهارس الكتاب المقدس
6,1,8,أ,التفسير التطبيقي للعهد الجديد,,,,,,,,,,4621,225,أطلس فهارس الكتاب المقدس
7,1,1,أ,دراسة الكتاب المقدس عن طريق الأسئلة,,,القس,أغسطينوس راغب حنا,,,,2014,,13023,220,كيف ندرس الكتاب المقدس
7,1,2,أ,الكتاب المقدس اسلوب تفسيره السليم وفقا لفكر الآباء القويم,4,سلسلة دراسات  في الكتاب المقدس,الشماس الدكتور,إميل ماهر اسحق,,,دار الكتب,1997,1,6300,224,كيف ندرس الكتاب المقدس
7,1,3,أ,الكتاب المقدس اسلوب تفسيره السليم وفقا لفكر الآباء القويم,4,سلسلة دراسات  في الكتاب المقدس,الشماس الدكتور,إميل ماهر اسحق,,,دار الكتب,1997,1,6506,220,كيف ندرس الكتاب المقدس
7,1,1,ب,طرق خلاقة ومعاصرة لدراسة الكتاب المقدس,,,,جون ب.جوب,القس,مكرم نجيب,دار الثقافة,1996,1,4609,220,كيف ندرس الكتاب المقدس
7,1,2,ب,أسلوب حديث لدراسة الكتاب المقدس,,,,مجموعة مؤلفين,القس,لبيب ميخائيل,,1974,,4895,220,كيف ندرس الكتاب المقدس
7,1,3,ب,هدية الله للبشر مبادئ لدرس الكتاب المقدس,1,إكتشف بنفسك كنوز الكتاب المقدس,القمص,أنطونيوس كمال حليم,,,,1996,1,8214,220,كيف ندرس الكتاب المقدس
7,1,4,ب,هدية الله للبشر مبادئ لدرس الكتاب المقدس,1,إكتشف بنفسك كنوز الكتاب المقدس,القمص,أنطونيوس كمال حليم,,,,1996,1,5254,220,كيف ندرس الكتاب المقدس
7,1,5,ب,ها أنا ذا إرسلني 8 طرق لدرس الكتاب,2,إكتشف بنفسك كنوز الكتاب المقدس,القمص,أنطونيوس كمال حليم,,,,1997,1,5412,220,كيف ندرس الكتاب المقدس
7,1,6,ب,ها أنا ذا إرسلني 8 طرق لدرس الكتاب,2,إكتشف بنفسك كنوز الكتاب المقدس,القمص,أنطونيوس كمال حليم,,,,1997,1,7077,220,كيف ندرس الكتاب المقدس
7,1,7,ب,أعطيكم فما و حكمة طرق مبتكرة لدرس الكتاب المقدس,3,إكتشف بنفسك كنوز الكتاب المقدس,القمص,أنطونيوس كمال حليم,,,,1997,1,6484,260,كيف ندرس الكتاب المقدس
7,1,8,ب,أعطيكم فما و حكمة طرق مبتكرة لدرس الكتاب المقدس,3,إكتشف بنفسك كنوز الكتاب المقدس,القمص,أنطونيوس كمال حليم,,,,1997,1,13141,260,كيف ندرس الكتاب المقدس
7,1,9,ب,كيف تدرس الكتاب المقدس ؟,,,الدكتور,ر.أ.ترى,,مرقس فهمي فرج,,1896,,4885,220,كيف ندرس الكتاب المقدس
7,1,10,ب,كيف تدرس الكتاب المقدس ؟,2,مقالات تصلح للخدام والشباب,,خدام بيت التكريس بحلوان,,,دار مجلة مرقس,,,7840,220,كيف ندرس الكتاب المقدس
7,1,11,ب,كيف ندرس نصوص الكتاب المقدس ؟,,,,مركز القديس تيموثاوس,,,مكتبة اسقفية الشباب,2003,1,11284,268,كيف ندرس الكتاب المقدس
7,1,12,ب,اعرف كتابك,1,اعرف كتابك,,دار الكتاب المقدس,,,دار الكتاب المقدس,1996,1,5016,221,كيف ندرس الكتاب المقدس
7,1,13,ب,اعرف كتابك,1,اعرف كتابك,,دار الكتاب المقدس,,,دار الكتاب المقدس,1997,2,6195,220,كيف ندرس الكتاب المقدس
7,1,14,ب,اعرف كتابك,2,اعرف كتابك,,دار الكتاب المقدس,,,دار الكتاب المقدس,1997,2,6197,220,كيف ندرس الكتاب المقدس
7,1,15,ب,اعرف كتابك,3,اعرف كتابك,,دار الكتاب المقدس,,,دار الكتاب المقدس,1997,1,6196,220,كيف ندرس الكتاب المقدس
7,1,16,ب,اعرف كتابك,4,اعرف كتابك,,دار الكتاب المقدس,,,دار الكتاب المقدس,1997,1,6198,220,كيف ندرس الكتاب المقدس
7,1,17,ب,اعرف كتابك,5,اعرف كتابك,,دار الكتاب المقدس,,,دار الكتاب المقدس,1997,1,6199,220,كيف ندرس الكتاب المقدس
7,1,18,ب,اعرف كتابك,6,اعرف كتابك,,دار الكتاب المقدس,,,دار الكتاب المقدس,1997,1,6200,220,كيف ندرس الكتاب المقدس
7,1,19,ب,اعرف كتابك,8,اعرف كتابك,,دار الكتاب المقدس,,,دار الكتاب المقدس,1998,1,6201,220,كيف ندرس الكتاب المقدس
7,1,20,ب,اعرف كتابك,9,اعرف كتابك,,دار الكتاب المقدس,,,دار الكتاب المقدس,1998,1,6194,220,كيف ندرس الكتاب المقدس
7,1,21,ب,كيف تقرأ الكتاب المقدس ؟,,,الأب,متى المسكين,,,دير القديس انبا مقار,1980,3,12734,220,كيف ندرس الكتاب المقدس
7,1,22,ب,الكتاب المقدس رسالة شخصية لك,,,الأب,متى المسكين,,,دير القديس انبا مقار,1987,2,10075,220,كيف ندرس الكتاب المقدس
7,1,1,ج,كتاب الله,,,القس,مكاري يونان,,,,1978,,13142,231,كيف ندرس الكتاب المقدس
7,1,2,ج,الكتاب المقدس أهميته وكيفية دراسته,,,أسقف,الأنبا ياكوبوس,,,كنيسة السيدة العذراء وماريوحنا بالزقازيق,1998,1,12129,242,كيف ندرس الكتاب المقدس
7,1,3,ج,كيف تقرأ الكتاب المقدس ؟,,,,دار الكتاب المقدس,,,رابطة قراء الكتاب المقدس,2008,10,12221,225,كيف ندرس الكتاب المقدس
7,1,4,ج,كيف تدرس الكتاب المقدس ؟,,,القمص,مرقس داود,,,,,,7920,220,كيف ندرس الكتاب المقدس
7,1,5,ج,كيف تدرس الكتاب المقدس ؟,,,القمص,مرقس داود,,,,,,13143,220,كيف ندرس الكتاب المقدس
7,1,6,ج,أسس التفسير السليم للكتاب المقدس,103,دراسات روحية للخدام,دياكون,ميخائيل مكسى إسكندر,,,,,,6994,220,كيف ندرس الكتاب المقدس
7,1,7,ج,أسس التفسير السليم للكتاب المقدس,103,دراسات روحية للخدام,دياكون,ميخائيل مكسى إسكندر,,,,,,6800,220,كيف ندرس الكتاب المقدس
7,1,8,ج,أسس التفسير السليم للكتاب المقدس,103,دراسات روحية للخدام,دياكون,ميخائيل مكسى إسكندر,,,,,,12393,220,كيف ندرس الكتاب المقدس
7,2,1,أ,مقدمة في الكتاب المقدس (الكتاب موجود في د7 -1 بسبب الحجم),,,,كنيسة الشهيد العظيم مارجرجس سبورتنج,,,,,,13165,271,مقدمة و دراسات في الكتاب المقدس
7,2,2,أ,نبوات تحققت دراسة جغرافية و تاريخية للكتاب المقدس,,,دياكون,جورج شوقي,,,كنيسة الشهيد العظيم مارجرجس شيوكلاني,1983,,12780,222,مقدمة و دراسات في الكتاب المقدس
7,2,3,أ,كتابنا السماوي,,,,إدوارد سمير كامل,,,,2002,,13166,271,مقدمة و دراسات في الكتاب المقدس
7,2,4,أ,الوحي كيف نفهم الكتاب المقدس؟,,دراسات لخدام الشباب,,مكتبة اسقفية الشباب,,,مكتبة اسقفية الشباب,,,13167,270,مقدمة و دراسات في الكتاب المقدس
7,2,5,أ,الاعلان الالهي وكيف كلم الله الانسان؟,1,دراسات في لاهوت الكتاب المقدس,القس,عبد المسيح بسيط ابو الخير,,,كنيسة السيدة العذراء بمسطرد,1997,1,13168,270,مقدمة و دراسات في الكتاب المقدس
7,2,6,أ,الوحي الالهي واستحالة تحريف الكتاب المقدس,3,دراسات في لاهوت الكتاب المقدس,القس,عبد المسيح بسيط ابو الخير,,,كنيسة السيدة العذراء بمسطرد,1998,2,13169,270,مقدمة و دراسات في الكتاب المقدس
7,2,1,ب,مطالعات في الكتاب المقدس,,,,حنا جرجس عبد السيد,,,,1968,1,13171,271,مقدمة و دراسات في الكتاب المقدس
7,2,2,ب,المحبة الالهية,,,,جورجي اسكندر,,,,,,4851,243,مقدمة و دراسات في الكتاب المقدس
7,2,3,ب,من الالف الي الياء في معاني الاسماء,,,الراهب,يحنس السرياني,,,دير السيدة العذراء السريان,1992,1,13172,220,مقدمة و دراسات في الكتاب المقدس
7,2,4,ب,صحتك وسعادتك من الكتاب المقدس,,,الدكتور,مدحت فريد,,,,1976,,13173,220,مقدمة و دراسات في الكتاب المقدس
7,2,5,ب,كتابنا المقدس ومسيحنا القدوس,,,اسقف,الأنبا يؤانس,,,مكتبة مارمرقس,1994,3,10146,239,مقدمة و دراسات في الكتاب المقدس
7,2,6,ب,كتابنا المقدس ومسيحنا القدوس,,,اسقف,الأنبا يؤانس,,,مكتبة مارمرقس,1980,1,13174,239,مقدمة و دراسات في الكتاب المقدس
7,2,7,ب,الكتاب المقدس وحياتنا الروحية,,,,بيت التكريس بحلوان,,,بيت التكريس بحلوان,2008,,13175,271,مقدمة و دراسات في الكتاب المقدس
7,2,8,ب,مقدمة في الكتاب المقدس,,,,مركز الدراسات الكتابية بالمراسلة,,,,,,13176,271,مقدمة و دراسات في الكتاب المقدس
7,2,9,ب,حل مشاكل الكتاب المقدس,,,القس,منسى يوحنا,,,مكتبة المحبة,1983,,6571,239,مقدمة و دراسات في الكتاب المقدس
7,2,10,ب,حل مشاكل الكتاب المقدس,,,القس,منسى يوحنا,,,مكتبة المحبة,1984,,8154,239,مقدمة و دراسات في الكتاب المقدس
7,2,11,ب,دراسات في الكتاب المقدس عن طريق الأسئلة بشارة متى ,1,,,مدارس الأحد القبطية الأرثوذكسية بالجيزة,,,مدارس الأحد القبطية الأرثوذكسية بالجيزة,1955,1,13243,220,مقدمة و دراسات في الكتاب المقدس
7,2,12,ب,إعلانات الله للبشر,,,,صبري محروس جرجس,,,دار القديس يوحنا الحبيب للنشر,1993,1,13245,220,مقدمة و دراسات في الكتاب المقدس
7,2,13,ب,عندي سؤال,1,عندي سؤال,القس,بيشوي فايق,,,كنيسة السيدة العذراء بالزيتون,2015,1,13111,240,مقدمة و دراسات في الكتاب المقدس
7,2,14,ب,عندي سؤال,2,عندي سؤال,القس,بيشوي فايق,,,كنيسة السيدة العذراء بالزيتون,2017,3,13112,240,مقدمة و دراسات في الكتاب المقدس
7,2,15,ب,عندي سؤال,3,عندي سؤال,القس,بيشوي فايق,,,كنيسة السيدة العذراء بالزيتون,2017,1,13113,240,مقدمة و دراسات في الكتاب المقدس
7,2,16,ب,عندي سؤال,4,عندي سؤال,القس,بيشوي فايق,,,كنيسة السيدة العذراء بالزيتون,2017,1,13114,240,مقدمة و دراسات في الكتاب المقدس
7,2,17,ب,عندي سؤال,5,عندي سؤال,القس,بيشوي فايق,,,كنيسة السيدة العذراء بالزيتون,2018,1,13115,240,مقدمة و دراسات في الكتاب المقدس
7,2,18,ب,عندي سؤال,6,عندي سؤال,القس,بيشوي فايق,,,كنيسة السيدة العذراء بالزيتون,2019,1,13116,240,مقدمة و دراسات في الكتاب المقدس
7,2,19,ب,عندي سؤال,7,عندي سؤال,القس,بيشوي فايق,,,كنيسة السيدة العذراء بالزيتون,2022,1,13117,240,مقدمة و دراسات في الكتاب المقدس
7,2,20,ب,س و ج,1,,القمص,بيشوي الأنطوني,,,دار القديس يوحنا الحبيب للنشر,1998,1,12840,220,مقدمة و دراسات في الكتاب المقدس
7,2,21,ب,دراسات في الكتاب المقدس,,دراسات للخدام,الدكتور,إميل عزيز,,,مطرانية بني سويف,,,13177,271,مقدمة و دراسات في الكتاب المقدس
7,2,22,ب,الكتاب المقدس والقراءات الروحية,,,القمص,شنودة السرياني,,,مكتبة التربية الكنسية بالجيزة,,,10766,220,مقدمة و دراسات في الكتاب المقدس
7,2,23,ب,المعايشة اليومية للكتاب المقدس,,,القس,يعقوب سليمان,,,,,,1192,220,مقدمة و دراسات في الكتاب المقدس
7,2,24,ب,مفاتيح الاسفار الالهية,,,,خدمة الشباب ببني سويف,,,مطرانية بني سويف,1981,,13178,220,مقدمة و دراسات في الكتاب المقدس
7,2,25,ب,مقالات في الكتاب المقدس 1,4,المباحث المتصلة بالكتاب المقدس,اسقف,الأنبا اغريغوريوس,,,أسقفية الدراسات العليا اللاهوتية,1989,,3955,220,مقدمة و دراسات في الكتاب المقدس
7,2,26,ب,مقالات في الكتاب المقدس 2,5,المباحث المتصلة بالكتاب المقدس,اسقف,الأنبا اغريغوريوس,,,أسقفية الدراسات العليا اللاهوتية,1989,,3961,220,مقدمة و دراسات في الكتاب المقدس
7,2,27,ب,مقالات في الكتاب المقدس 3,6,المباحث المتصلة بالكتاب المقدس,اسقف,الأنبا اغريغوريوس,,,أسقفية الدراسات العليا اللاهوتية,1989,,12685,226,مقدمة و دراسات في الكتاب المقدس
